SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
168,XXXXXXXX04_13-N,32.286171,-108.887414,XXXXXXXX04,,,13-N,,,,,,,,,,,,,,,
169,XXXXXXXX04_13-S,32.286081,-108.887414,XXXXXXXX04,,,13-S,,,,,,,,,,,,,,,
170,XXXXXXXX04_13-W,32.286126,-108.887467,XXXXXXXX04,,,13-W,,,,,,,,,,,,,,,
171,XXXXXXXX04_14,32.286773,-108.887249,XXXXXXXX04,,,14,,,,,,,,,,,,,,,
172,XXXXXXXX04_14-E,32.286773,-108.887195,XXXXXXXX04,,,14-E,,,,,,,,,,,,,,,
173,XXXXXXXX04_14-N,32.286818,-108.887249,XXXXXXXX04,,,14-N,,,,,,,,,,,,,,,
174,XXXXXXXX04_14-S,32.286728,-108.887249,XXXXXXXX04,,,14-S,,,,,,,,,,,,,,,
175,XXXXXXXX04_14-W,32.286773,-108.887302,XXXXXXXX04,,,14-W,,,,,,,,,,,,,,,
176,XXXXXXXX04_15,32.287451,-108.887044,XXXXXXXX04,,,15,,,,,,,,,,,,,,,
177,XXXXXXXX04_15-E,32.287451,-108.886991,XXXXXXXX04,,,15-E,,,,,,,,,,,,,,,
178,XXXXXXXX04_15-N,32.287496,-108.887044,XXXXXXXX04,,,15-N,,,,,,,,,,,,,,,
179,XXXXXXXX04_15-S,32.287406,-108.887044,XXXXXXXX04,,,15-S,,,,,,,,,,,,,,,
180,XXXXXXXX04_15-W,32.287451,-108.887097,XXXXXXXX04,,,15-W,,,,,,,,,,,,,,,
181,XXXXXXXX04_16,32.288120,-108.886855,XXXXXXXX04,,,16,,,,,,,,,,,,,,,
182,XXXXXXXX04_16-E,32.288120,-108.886801,XXXXXXXX04,,,16-E,,,,,,,,,,,,,,,
183,XXXXXXXX04_16-N,32.288165,-108.886855,XXXXXXXX04,,,16-N,,,,,,,,,,,,,,,
184,XXXXXXXX04_16-S,32.288075,-108.886855,XXXXXXXX04,,,16-S,,,,,,,,,,,,,,,
185,XXXXXXXX04_16-W,32.288120,-108.886908,XXXXXXXX04,,,16-W,,,,,,,,,,,,,,,
186,XXXXXXXX05_17,32.288765,-108.886699,XXXXXXXX05,,,17,,,,,,,,,,,,,,,
187,XXXXXXXX05_17-E,32.288765,-108.886646,XXXXXXXX05,,,17-E,,,,,,,,,,,,,,,
188,XXXXXXXX05_17-N,32.288810,-108.886699,XXXXXXXX05,,,17-N,,,,,,,,,,,,,,,
189,XXXXXXXX05_17-S,32.288720,-108.886699,XXXXXXXX05,,,17-S,,,,,,,,,,,,,,,
190,XXXXXXXX05_17-W,32.288765,-108.886752,XXXXXXXX05,,,17-W,,,,,,,,,,,,,,,
191,XXXXXXXX05_18,32.289418,-108.886557,XXXXXXXX05,,,18,,,,,,,,,,,,,,,
